seed_term,sponsor,total_trials_since_2020,active_trials_since_2020,early_phase_trials_since_2020,active_early_trials_since_2020,total_trials_since_2020_score,active_trials_since_2020_score,early_phase_trials_since_2020_score,active_early_trials_since_2020_score,trial_activity_score,sponsor_total_active_early,therapeutic_focus_score,activity_trajectory_score,start_slope,starts_early_period,starts_recent_period,effective_indication_breadth,breadth_score,prospect_score
autoimmune diseases,"Climb Bio, Inc.",3,3,3,3,0.375,0.5,0.5,0.75,0.65625,5,0.6,0.9647058823529412,0.05,0.0,3.0,1.923076923076923,0.8100954344062797,72.20757199112163
autoimmune diseases,Autolus Limited,3,3,3,3,0.375,0.5,0.5,0.75,0.65625,5,0.6,0.9647058823529412,0.05,0.0,3.0,1.6,0.7216379836168889,71.32299748322771
autoimmune diseases,Sanofi,32,17,13,5,1.0,1.0,1.0,1.0,1.0,54,0.09259259259259259,0.4337704918032787,-0.4000000000000001,12.0,20.0,2.7777777777777777,1.0,70.52726168791742
autoimmune diseases,argenx,38,22,13,9,1.0,1.0,1.0,1.0,1.0,22,0.4090909090909091,0.3458823529411765,-0.5666666666666668,17.0,20.0,1.0,0.5234906775131802,70.33437201577351
autoimmune diseases,Amgen,34,20,17,6,1.0,1.0,1.0,1.0,1.0,40,0.15,0.36585365853658536,-0.4000000000000001,15.0,19.0,3.169014084507042,1.0,70.3170731707317
autoimmune diseases,Novartis Pharmaceuticals,111,59,33,22,1.0,1.0,1.0,1.0,1.0,120,0.18333333333333332,0.3107108702582085,-1.8166666666666673,54.0,56.0,2.8221574344023326,1.0,69.88088407183083
autoimmune diseases,Nanjing Legend Biotech Co.,4,2,4,2,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,2,1.0,0.9769230769230769,0.08333333333333333,0.0,4.0,1.0,0.5234906775131802,69.77336831359334
autoimmune diseases,"Guangdong ProCapZoom Biosciences Co., Ltd.",3,3,3,3,0.375,0.5,0.5,0.75,0.65625,5,0.6,0.9647058823529412,0.05,0.0,3.0,1.0,0.5234906775131802,69.34152442219063
autoimmune diseases,"Artiva Biotherapeutics, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.9400000000000001,0.01666666666666666,0.0,2.0,1.7999999999999998,0.7776070961516035,68.45107096151604
autoimmune diseases,"COUR Pharmaceutical Development Company, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.9400000000000001,0.01666666666666666,0.0,2.0,1.7999999999999998,0.7776070961516035,68.45107096151604
autoimmune diseases,"Shanghai Jiaolian Drug Research and Development Co., Ltd",3,3,3,3,0.375,0.5,0.5,0.75,0.65625,6,0.5,0.8647058823529412,-7.166458808248764e-18,0.0,3.0,1.923076923076923,0.8100954344062797,68.20757199112163
autoimmune diseases,Keymed Biosciences Co.Ltd,6,5,6,5,0.75,0.8333333333333334,1.0,1.0,0.9625,22,0.22727272727272727,0.4,-0.03333333333333334,2.0,2.0,1.6896551724137931,0.7472417035095585,68.14287158055012
autoimmune diseases,"Sonoma Biotherapeutics, Inc.",3,3,2,2,0.375,0.5,0.3333333333333333,0.5,0.46875,2,1.0,0.9647058823529412,0.01666666666666666,0.0,3.0,1.0,0.5234906775131802,67.96652442219062
autoimmune diseases,Hoffmann-La Roche,37,24,14,11,1.0,1.0,1.0,1.0,1.0,82,0.13414634146341464,0.2541176470588235,-0.7666666666666668,20.0,17.0,3.7142857142857144,1.0,67.76527977044476
autoimmune diseases,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",8,4,7,3,1.0,0.6666666666666666,1.0,0.75,0.7875000000000001,42,0.07142857142857142,0.8172413793103448,0.0,1.0,4.0,2.5789473684210527,0.9629795950629878,66.7781949654082
autoimmune diseases,"Kali Therapeutics, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.9400000000000001,0.06666666666666667,0.0,2.0,1.0,0.5234906775131802,65.9099067751318
autoimmune diseases,Lakefront Biotherapeutics West LLC,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.9400000000000001,0.03333333333333333,0.0,2.0,1.0,0.5234906775131802,65.9099067751318
autoimmune diseases,"Nuvig Therapeutics, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.9400000000000001,0.03333333333333333,0.0,2.0,1.0,0.5234906775131802,65.9099067751318
autoimmune diseases,"Shanghai IASO Biotechnology Co., Ltd",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.9400000000000001,0.03333333333333333,0.0,2.0,1.0,0.5234906775131802,65.9099067751318
autoimmune diseases,Eli Lilly and Company,18,9,12,5,1.0,1.0,1.0,1.0,1.0,111,0.04504504504504504,0.24059405940594059,-0.28333333333333344,10.0,8.0,3.6337209302325575,1.0,65.71278208901971
autoimmune diseases,Hope Biosciences Research Foundation,4,2,4,2,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,2,1.0,0.7153846153846154,-7.166458808248764e-18,1.0,2.0,1.0,0.5234906775131802,64.5425990828241
autoimmune diseases,Cartesian Therapeutics,3,3,2,2,0.375,0.5,0.3333333333333333,0.5,0.46875,3,0.6666666666666666,0.9647058823529412,0.05,0.0,3.0,1.7999999999999998,0.7776070961516035,63.841021941908195
autoimmune diseases,Adicet Therapeutics,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,3,0.6666666666666666,0.9400000000000001,0.01666666666666666,0.0,2.0,2.0,0.8297130933355026,62.30546426668836
autoimmune diseases,"Rigerna Therapeutics Co., Ltd.; Rigerna Therapeutics (Beijing) Co., Ltd.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,3,0.6666666666666666,0.9400000000000001,0.05000000000000001,0.0,2.0,2.0,0.8297130933355026,62.30546426668836
autoimmune diseases,"TG Therapeutics, Inc.",6,6,2,2,0.75,1.0,0.3333333333333333,0.5,0.5625,5,0.4,0.988,0.1,0.0,6.0,1.0,0.5234906775131802,61.1199067751318
autoimmune diseases,"Sling Therapeutics, Inc.",3,3,2,2,0.375,0.5,0.3333333333333333,0.5,0.46875,2,1.0,0.6153846153846154,-0.01666666666666667,1.0,2.0,1.0,0.5234906775131802,60.980099082824104
autoimmune diseases,GlaxoSmithKline,17,7,8,3,1.0,1.0,1.0,0.75,0.8375000000000001,88,0.03409090909090909,0.3924324324324324,-0.3333333333333334,7.0,10.0,2.73972602739726,0.9961674666339388,60.367141496806234
autoimmune diseases,"Beijing Mabworks Biotech Co., Ltd.",5,5,3,3,0.625,0.8333333333333334,0.5,0.75,0.71875,6,0.5,0.31599999999999995,-0.03333333333333336,3.0,2.0,1.923076923076923,0.8100954344062797,60.35845434406279
autoimmune diseases,"Alpine Immune Sciences, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,2,1.0,0.4000000000000001,-0.03333333333333333,1.0,1.0,2.6666666666666665,0.9812671085154541,59.68767108515455
autoimmune diseases,"Chengdu Ucello Biotechnology Co., Ltd.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,3,0.6666666666666666,0.9400000000000001,0.03333333333333333,0.0,2.0,1.0,0.5234906775131802,59.24324010846513
autoimmune diseases,"Nkarta, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,4,0.5,0.8400000000000001,-3.583229404124382e-18,0.0,2.0,2.6666666666666665,0.9812671085154541,58.487671085154545
autoimmune diseases,AbelZeta Inc.,2,1,2,1,0.25,0.16666666666666666,0.3333333333333333,0.25,0.25,1,1.0,0.88,0.03333333333333333,0.0,1.0,2.0,0.8297130933355026,58.39713093335502
autoimmune diseases,Biohaven Therapeutics Ltd.,4,4,2,2,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,10,0.2,0.9647058823529412,0.06666666666666667,0.0,3.0,3.571428571428571,1.0,58.294117647058826
autoimmune diseases,Aurinia Pharmaceuticals Inc.,5,2,1,1,0.625,0.3333333333333333,0.16666666666666666,0.25,0.26875,1,1.0,0.9172413793103448,0.01666666666666666,1.0,4.0,1.0,0.5234906775131802,57.01723436133869
autoimmune diseases,Fate Therapeutics,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,5,0.4,0.9400000000000001,0.03333333333333333,0.0,2.0,2.0,0.8297130933355026,56.972130933355025
autoimmune diseases,CRISPR Therapeutics,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,"Century Therapeutics, Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,"Everest Medicines (China) Co.,Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,"Hangzhou Reprogenix Bioscience, Inc",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,"Otsuka Pharmaceutical Factory, Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,PolTREG S.A.,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,"Portal Diabetes, Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,Purespring Therapeutics Limited,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,2.0,0.8297130933355026,56.83463093335502
autoimmune diseases,Walden Biosciences,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.78,-1.791614702062191e-18,0.0,1.0,3.0,1.0,56.53750000000001
autoimmune diseases,Bioray Laboratories,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,4,0.5,0.8400000000000001,-3.583229404124382e-18,0.0,2.0,1.7999999999999998,0.7776070961516035,56.45107096151604
autoimmune diseases,"ADARx Pharmaceuticals, Inc.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,7,0.2857142857142857,0.9400000000000001,0.05000000000000001,0.0,2.0,2.7777777777777772,1.0,56.38928571428572
autoimmune diseases,"Shanghai Escugen Biotechnology Co., Ltd",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,4,0.5,0.9400000000000001,0.05000000000000001,0.0,2.0,1.0,0.5234906775131802,55.9099067751318
autoimmune diseases,AbbVie,19,7,6,3,1.0,1.0,1.0,0.75,0.8375000000000001,107,0.028037383177570093,0.1648068669527897,-0.5833333333333333,12.0,7.0,3.813559322033898,1.0,55.73188500260721
autoimmune diseases,Tiziana Life Sciences LTD,3,2,3,2,0.375,0.3333333333333333,0.5,0.5,0.46875,4,0.5,0.8400000000000001,-3.583229404124382e-18,0.0,2.0,1.0,0.5234906775131802,55.4724067751318
autoimmune diseases,"Genentech, Inc.",5,3,3,2,0.625,0.5,0.5,0.5,0.5062500000000001,29,0.06896551724137931,0.9172413793103448,0.050000000000000024,1.0,4.0,3.571428571428571,1.0,55.03663793103449
autoimmune diseases,Sinocelltech Ltd.,4,3,4,3,0.5,0.5,0.6666666666666666,0.75,0.6875,19,0.15789473684210525,0.5,,,,1.6,0.7216379836168889,54.749274573010986
autoimmune diseases,"Alexion Pharmaceuticals, Inc.",25,14,11,2,1.0,1.0,1.0,0.5,0.675,8,0.25,0.3,-0.2833333333333334,12.0,12.0,2.6666666666666665,0.9812671085154541,54.56267108515455
